file,line,function,primitive_calls,total_calls,self_seconds,cumulative_seconds
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,7754,maybe_extract_name,417,417,0.000756866,0.0027443510000000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/iolib/__init__.py,1,<module>,1,1,1.415e-05,0.0027028380000000004
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/base.py,82,shape,429,429,0.001307872,0.002634017
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,7011,insert,19,19,0.000224044,0.0025671400000000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1653,_is_scalar_access,469,469,0.001568285,0.002551386
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,975,_is_nested_tuple_indexer,470,470,0.000873608,0.002508712
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scanpy/_utils/__init__.py,445,sanitize_anndata,1,1,1.339e-05,0.002477691
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/anndata/_core/anndata.py,1162,strings_to_categoricals,1,1,0.00019776600000000002,0.0024643010000000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_index.py,298,_validate_indices,56,56,0.001152666,0.002394442
~,0,<method '__exit__' of '_io._IOBase' objects>,23,23,0.002336065,0.002336065
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py,574,condition,953,953,0.001694724,0.0022995140000000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/_methods.py,39,_amax,465,465,0.000284327,0.0022747310000000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/numeric.py,1393,moveaxis,177,177,0.000704579,0.002208881
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1668,_validate_integer,544,544,0.0006864670000000001,0.002175662
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py,1409,_get_dtype,2585,2585,0.000973979,0.0019091140000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,675,_with_infer,22,22,0.00020166700000000002,0.0018782710000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py,2747,get_block_type,903,903,0.0012587310000000001,0.001874044
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,4401,_set_is_copy,778,778,0.000869355,0.0018235500000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/multi.py,904,_set_levels,91,91,0.00046469100000000004,0.0018124740000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py,180,blknos,935,935,0.001369851,0.001772923
~,0,<built-in method builtins.hasattr>,6353,6353,0.001735706,0.0017433160000000002
~,0,<method 'min' of 'numpy.ndarray' objects>,385,385,0.000380753,0.001723263
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py,72,check,1536,1536,0.001049864,0.0016883940000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/algorithms.py,610,factorize,3,3,3.3189000000000004e-05,0.0016755440000000002
<frozen importlib._bootstrap>,1390,_handle_fromlist,12,12,1.5828e-05,0.0016012040000000002
~,0,<method 'astype' of 'numpy.ndarray' objects>,595,595,0.0015931830000000002,0.0015931830000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,774,_view,355,355,0.000424386,0.001588364
